name,radius,distance,atmosphere,P. Habitable Class,P. Disc. Method,P. Disc. Year,
Jupiter,10.97,0,hydrogen-rich,non-habitable,,,
Saturn,9.14,0,hydrogen-rich,non-habitable,,,
Uranus,3.98,0,hydrogen-rich,non-habitable,,,
Neptune,3.86,0,hydrogen-rich,non-habitable,,,
Earth,1,0,metals-rich,habitable,,,
Venus,0.95,0,metals-rich,non-habitable,,,
Mars,0.532,0,metals-rich,non-habitable,,,
Mercury,0.383,0,,non-habitable,,,
Pluto,0.181,0,metals-rich,non-habitable,,,
1RXS 1609 b,19.04,145,hydrogen-rich,non-habitable,Imaging,2008,
1SWASP J1407 b,10.94,133,hydrogen-rich,non-habitable,Primary Transit,2012,
2M 0103-55(AB) b,11.4,47.2,hydrogen-rich,non-habitable,Imaging,2013,
2M 0122-24 b,11.2,36,hydrogen-rich,non-habitable,Imaging,2013,
2M 0219-39 b,16.13,39.4,hydrogen-rich,non-habitable,Imaging,2015,
2M 0441+23 b,11.66,140,hydrogen-rich,non-habitable,Imaging,2010,
2M 0746+20 b,10.86,12.21,hydrogen-rich,non-habitable,Imaging,2010,
2M 1207-39 b,11.66,52.4,hydrogen-rich,non-habitable,Imaging,2004,
2M 2140+16 b,10.3,25,hydrogen-rich,non-habitable,Imaging,2010,
2M 2206-20 b,14.56,26.67,hydrogen-rich,non-habitable,Imaging,2010,
2M 2236+4751 b,11.43,63,hydrogen-rich,non-habitable,Imaging,2016,
2M J2126-81 b,11.38,24.75,hydrogen-rich,non-habitable,Imaging,2016,
4 Uma b,11.67,78.5,hydrogen-rich,non-habitable,Radial Velocity,2007,
7 CMa b,11.44,19.75,hydrogen-rich,non-habitable,Radial Velocity,2011,
8 Umi b,10.92,159.1,hydrogen-rich,non-habitable,Radial Velocity,2015,
11 Com b,10.98,110.6,hydrogen-rich,non-habitable,Radial Velocity,2008,
11 Oph b,10.87,145,hydrogen-rich,non-habitable,Imaging,2007,
11 UMi b,11.54,119.5,hydrogen-rich,non-habitable,Radial Velocity,2009,
14 And b,11.68,76.4,hydrogen-rich,non-habitable,Radial Velocity,2008,
14 Her b,11.68,18.1,hydrogen-rich,non-habitable,Radial Velocity,2002,
16 Cyg B b,11.06,21.41,hydrogen-rich,non-habitable,Radial Velocity,1996,
18 Del b,11.55,73.1,hydrogen-rich,non-habitable,Radial Velocity,2008,
24 Sex b,11.25,74.8,hydrogen-rich,non-habitable,Radial Velocity,2010,
24 Sex c,9.99,74.8,hydrogen-rich,non-habitable,Radial Velocity,2010,
30 Ari B b,11.58,39.4,hydrogen-rich,non-habitable,Radial Velocity,2009,
42 Dra b,11.65,97.3,hydrogen-rich,non-habitable,Radial Velocity,2009,
47 Uma b,11.46,13.97,hydrogen-rich,non-habitable,Radial Velocity,1996,
47 Uma c,9.01,13.97,hydrogen-rich,non-habitable,Radial Velocity,2001,
47 Uma d,11.03,13.97,hydrogen-rich,non-habitable,Radial Velocity,2010,
51 Eri b,12.43,29.4,hydrogen-rich,non-habitable,Imaging,2015,
51 Peg b,21.28,14.7,metals-rich,non-habitable,Radial Velocity,1995,
55 Cnc b,9.84,12.34,hydrogen-rich,non-habitable,Radial Velocity,1996,
55 Cnc c,6.45,12.34,metals-rich,non-habitable,Radial Velocity,2002,
55 Cnc d,11.68,12.34,hydrogen-rich,non-habitable,Radial Velocity,2002,
55 Cnc e,1.99,12.34,metals-rich,non-habitable,Primary Transit,2004,
55 Cnc f,6.12,12.34,hydrogen-rich,non-habitable,Radial Velocity,2007,
61 Vir b,1.66,8.52,metals-rich,non-habitable,Radial Velocity,2009,
61 Vir c,4.51,8.52,metals-rich,non-habitable,Radial Velocity,2009,
61 Vir d,4.87,8.52,metals-rich,non-habitable,Radial Velocity,2009,
70 Vir b,11.68,22,hydrogen-rich,non-habitable,Radial Velocity,1996,
75 Cet b,11.56,81.5,hydrogen-rich,non-habitable,Radial Velocity,2012,
81 Cet b,11.68,97.2,hydrogen-rich,non-habitable,Radial Velocity,2008,
91 Aqr b,11.59,45.9,hydrogen-rich,non-habitable,Radial Velocity,2003,
AB Pic b,11.37,47.3,hydrogen-rich,non-habitable,Imaging,2005,
Aldebaran b,11.68,20.43,hydrogen-rich,non-habitable,Radial Velocity,1998,
alf Ari b,11.15,20.2,hydrogen-rich,non-habitable,Radial Velocity,2011,
alf Cen B b,1.09,1.29,no-atmosphere,non-habitable,Radial Velocity,2012,
AS 205A b,10.99,140,hydrogen-rich,non-habitable,Radial Velocity,2017,
BD+14 4559 b,10.89,50,hydrogen-rich,non-habitable,Radial Velocity,2009,
BD+15 2375 b,10.37,774,hydrogen-rich,non-habitable,Radial Velocity,2016,
BD+15 2940 b,10.45,585,hydrogen-rich,non-habitable,Radial Velocity,2013,
BD+20 594 b,2.23,152.1,metals-rich,non-habitable,Primary Transit,2016,
BD+20 1790 b,11.68,25.4,hydrogen-rich,non-habitable,Other,2009,
BD+20 2457 b,10.85,200,hydrogen-rich,non-habitable,Radial Velocity,2009,
BD+20 2457 c,11.44,200,hydrogen-rich,non-habitable,Radial Velocity,2009,
BD+24 4697 b,9.15,48.8,hydrogen-rich,non-habitable,Radial Velocity,2016,
BD+26 1888 b,10.55,38,hydrogen-rich,non-habitable,Radial Velocity,2016,
BD-06 1339 b,1.91,20,metals-rich,non-habitable,Radial Velocity,2013,
BD-06 1339 c,6.46,20,hydrogen-rich,non-habitable,Radial Velocity,2013,
BD-06 1339 d,5.26,20,hydrogen-rich,non-habitable,Radial Velocity,2014,
BD-08 2823 b,4.16,42.2,metals-rich,non-habitable,Radial Velocity,2009,
BD-08 2823 c,7.9,42.2,hydrogen-rich,non-habitable,Radial Velocity,2009,
BD-10 3166 b,11.54,66,metals-rich,non-habitable,Radial Velocity,2000,
BD-11 4672 b,8.97,27.3,hydrogen-rich,non-habitable,Radial Velocity,2010,
BD-17 63 b,11.68,34.6,hydrogen-rich,non-habitable,Radial Velocity,2008,
beta Cir b,9.03,30.56,hydrogen-rich,non-habitable,Imaging,2015,
beta Cnc b,11.65,92.99,hydrogen-rich,non-habitable,Radial Velocity,2014,
beta Pic b,18.48,19.3,hydrogen-rich,non-habitable,Imaging,2008,
beta Umi b,11.68,40.14,hydrogen-rich,non-habitable,Radial Velocity,2014,
CD-35 2722 b,10.24,21.3,hydrogen-rich,non-habitable,Imaging,2011,
CFBDS 1458 b,11.54,31.9,hydrogen-rich,non-habitable,Imaging,2011,
CoRoT-1 b,16.69,460,metals-rich,non-habitable,Primary Transit,2007,
CoRoT-2 b,16.41,300,hydrogen-rich,non-habitable,Primary Transit,2007,
CoRoT-3 b,11.31,680,hydrogen-rich,non-habitable,Primary Transit,2008,
CoRoT-5 b,14.9,400,metals-rich,non-habitable,Primary Transit,2008,
CoRoT-7 b,1.67,150,metals-rich,non-habitable,Primary Transit,2009,
CoRoT-7 c,1.9,150,metals-rich,non-habitable,Radial Velocity,2009,
CoRoT-8 b,6.37,380,metals-rich,non-habitable,Primary Transit,2010,
CoRoT-9 b,10.53,460,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-10 b,10.86,345,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-11 b,16.02,560,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-12 b,16.13,1150,metals-rich,non-habitable,Primary Transit,2010,
CoRoT-13 b,9.91,1310,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-14 b,12.21,1340,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-16 b,13.1,840,metals-rich,non-habitable,Primary Transit,2010,
CoRoT-17 b,11.42,920,hydrogen-rich,non-habitable,Primary Transit,2010,
CoRoT-18 b,14.67,870,hydrogen-rich,non-habitable,Primary Transit,2011,
CoRoT-19 b,14.45,800,metals-rich,non-habitable,Primary Transit,2011,
CoRoT-20 b,9.41,1230,hydrogen-rich,non-habitable,Primary Transit,2011,
CoRoT-22 b,4.88,592,metals-rich,non-habitable,Primary Transit,2011,
CoRoT-23 b,12.1,600,hydrogen-rich,non-habitable,Primary Transit,2011,
CoRoT-24 b,3.7,600,metals-rich,non-habitable,Primary Transit,2011,
CoRoT-24 c,4.93,600,metals-rich,non-habitable,Primary Transit,2011,
CoRoT-25 b,12.1,1000,metals-rich,non-habitable,Primary Transit,2012,
CoRoT-26 b,14.11,1670,metals-rich,non-habitable,Primary Transit,2012,
CoRoT-28 b,10.7,560,metals-rich,non-habitable,Primary Transit,2012,
CoRoT-29 b,10.08,765,hydrogen-rich,non-habitable,Primary Transit,2012,
CT Cha b,24.64,165,hydrogen-rich,non-habitable,Imaging,2008,
CVSO 30 b,21.39,330,hydrogen-rich,non-habitable,Primary Transit,2012,
CVSO 30 c,18.26,330,hydrogen-rich,non-habitable,Imaging,2016,
DE0823-49 b,10.21,20.69,hydrogen-rich,non-habitable,Imaging,2013,
EPIC-206011691 b,1.59,65,metals-rich,non-habitable,Primary Transit,2015,
EPIC-206011691 c,1.92,65,metals-rich,non-habitable,Primary Transit,2015,
EPIC-210490365 b,3.43,45.7,metals-rich,non-habitable,Primary Transit,2015,
