name,zone,P. Mass Class,atmosphere,habitable,radius,S. Constellation,distance,P. Disc. Method,P. Disc. Year
Jupiter,Cold,,hydrogen-rich,non-habitable,10.97,,0,,
Saturn,Cold,,hydrogen-rich,non-habitable,9.14,,0,,
Uranus,Cold,,hydrogen-rich,non-habitable,3.98,,0,,
Neptune,Cold,,hydrogen-rich,non-habitable,3.86,,0,,
Earth,Warm,,metals-rich,habitable,1,,0,,
Venus,Hot,,metals-rich,non-habitable,0.95,,0,,
Mars,Cold,,metals-rich,non-habitable,0.532,,0,,
Mercury,Hot,,,non-habitable,0.383,,0,,
Pluto,Cold,,metals-rich,non-habitable,0.181,,0,,
alf Cen B b,Hot,Terran,no-atmosphere,non-habitable,1.09,Cen,1.29,Radial Velocity,2012
Proxima Cen b,Warm,Terran,metals-rich,psychroplanet,1.12,Cen,1.29,Radial Velocity,2016
WISE 0855-0714 b,,Jovian,,non-habitable,11.68,Hya,2.31,Imaging,2014
Lalande 21185 b,Hot,Terran,metals-rich,non-habitable,1.54,UMa,2.55,Radial Velocity,2017
eps Eridani b,Cold,Jovian,hydrogen-rich,non-habitable,11.58,Eri,3.2,Radial Velocity,2000
GJ 15 A b,Hot,Superterran,metals-rich,non-habitable,1.69,And,3.59,Radial Velocity,2014
YZ Cet b,Hot,Terran,metals-rich,non-habitable,0.96,Cet,3.6,Radial Velocity,2017
YZ Cet c,Hot,Terran,metals-rich,non-habitable,1.04,Cet,3.6,Radial Velocity,2017
YZ Cet d,Hot,Terran,metals-rich,non-habitable,1.09,Cet,3.6,Radial Velocity,2017
tau Cet b,Hot,Terran,metals-rich,non-habitable,1.28,Cet,3.65,radial velocity,2012
tau Cet c,Hot,Terran,metals-rich,non-habitable,1.45,Cet,3.65,radial velocity,2012
tau Cet d,Hot,Terran,metals-rich,non-habitable,1.5,Cet,3.65,radial velocity,2012
tau Cet e,Warm,Terran,metals-rich,mesoplanet,1.59,Cet,3.65,radial velocity,2012
tau Cet f,Cold,Superterran,hydrogen-rich,non-habitable,1.79,Cet,3.65,radial velocity,2012
tau Cet g,Hot,Terran,metals-rich,non-habitable,1.23,Cet,3.65,Radial Velocity,2017
tau Cet h,Hot,Terran,metals-rich,non-habitable,1.25,Cet,3.65,Radial Velocity,2017
GJ 273 b,Warm,Terran,metals-rich,mesoplanet,1.42,CMi,3.8,Radial Velocity,2017
GJ 273 c,Hot,Terran,metals-rich,non-habitable,1.1,CMi,3.8,Radial Velocity,2017
Kapteyn b,Warm,Terran,metals-rich,psychroplanet,1.64,Pic,3.91,Radial Velocity,2014
Kapteyn c,Cold,Superterran,hydrogen-rich,non-habitable,1.81,Pic,3.91,Radial Velocity,2014
Wolf 1061 b,Hot,Terran,metals-rich,non-habitable,1.26,Oph,4.29,Radial Velocity,2015
Wolf 1061 c,Warm,Terran,metals-rich,mesoplanet,1.49,Oph,4.29,Radial Velocity,2015
Wolf 1061 d,Cold,Superterran,hydrogen-rich,non-habitable,1.86,Oph,4.29,Radial Velocity,2015
GJ 687 b,Warm,Neptunian,metals-rich,non-habitable,4.53,Dra,4.5,Radial Velocity,2014
GJ 674 b,Hot,Neptunian,metals-rich,non-habitable,12.66,Ara,4.54,Radial Velocity,2007
GJ 876 b,Warm,Jovian,hydrogen-rich,non-habitable,11.23,Aqr,4.7,Radial Velocity,2000
GJ 876 c,Warm,Jovian,hydrogen-rich,non-habitable,9.98,Aqr,4.7,Radial Velocity,2000
GJ 876 d,Hot,Superterran,metals-rich,non-habitable,1.81,Aqr,4.7,Radial Velocity,2005
GJ 876 e,Cold,Neptunian,hydrogen-rich,non-habitable,4.16,Aqr,4.7,Radial Velocity,2010
GJ 832 b,Cold,Jovian,hydrogen-rich,non-habitable,9.54,Gru,4.94,Radial Velocity,2008
GJ 832 c,Warm,Superterran,metals-rich,mesoplanet,1.69,Gru,4.94,Radial Velocity,2014
GJ 682 b,Hot,Terran,metals-rich,non-habitable,1.6,Sco,5.08,Radial Velocity,2014
GJ 682 c,Warm,Superterran,hydrogen-rich,psychroplanet,1.92,Sco,5.08,Radial Velocity,2014
GJ 3323 b,Warm,Terran,metals-rich,mesoplanet,1.28,Eri,5.32,Radial Velocity,2017
GJ 3323 c,Cold,Terran,metals-rich,non-habitable,1.34,Eri,5.32,Radial Velocity,2017
GJ 570 Db,Cold,Jovian,hydrogen-rich,non-habitable,9.58,Lib,5.91,Imaging,2000
SIMP0136+0933 b,,Jovian,,non-habitable,11.42,Psc,6,Imaging,2017
HD 20794 b,Hot,Terran,metals-rich,non-habitable,1.41,Eri,6.06,Radial Velocity,2011
HD 20794 d,Hot,Terran,metals-rich,non-habitable,1.5,Eri,6.06,Radial Velocity,2011
HD 20794 e,Hot,Terran,metals-rich,non-habitable,1.64,Eri,6.06,Radial Velocity,2017
GJ 581 b,Hot,Neptunian,metals-rich,non-habitable,4.31,Lib,6.21,Radial Velocity,2005
GJ 581 c,Hot,Superterran,metals-rich,non-habitable,1.69,Lib,6.21,Radial Velocity,2007
GJ 581 e,Hot,Terran,metals-rich,non-habitable,1.27,Lib,6.21,Radial Velocity,2009
GJ 625 b,Hot,Terran,metals-rich,non-habitable,1.44,Dra,6.49,Radial Velocity,2017
HD 219134 b,Hot,Terran,metals-rich,non-habitable,1.6,Cas,6.55,Primary Transit,2015
HD 219134 c,Hot,Terran,metals-rich,non-habitable,1.5,Cas,6.55,Radial Velocity,2015
HD 219134 d,Hot,Neptunian,metals-rich,non-habitable,4.75,Cas,6.55,Radial Velocity,2015
HD 219134 e,Cold,Terran,hydrogen-rich,non-habitable,1.53,Cas,6.55,Radial Velocity,2015
HD 219134 g,Hot,Neptunian,metals-rich,non-habitable,3.79,Cas,6.55,Radial Velocity,2015
HD 219134 h,Cold,Jovian,hydrogen-rich,non-habitable,7.53,Cas,6.55,Radial Velocity,2015
GJ 667 C b,Hot,Superterran,metals-rich,non-habitable,1.71,Sco,6.8,Radial Velocity,2009
GJ 667 C c,Warm,Terran,metals-rich,mesoplanet,1.54,Sco,6.8,Radial Velocity,2011
GJ 667 C d,Cold,Superterran,metals-rich,non-habitable,1.67,Sco,6.8,Radial Velocity,2013
GJ 667 C e,Warm,Terran,metals-rich,psychroplanet,1.4,Sco,6.8,Radial Velocity,2013
GJ 667 C f,Warm,Terran,metals-rich,psychroplanet,1.4,Sco,6.8,Radial Velocity,2013
GJ 667 C g,Cold,Terran,hydrogen-rich,non-habitable,1.62,Sco,6.8,Radial Velocity,2013
WISE J0720-0846 b,Cold,Jovian,hydrogen-rich,non-habitable,8.81,Mon,6.8,Imaging,2014
HD 95872 b,Cold,Jovian,hydrogen-rich,non-habitable,11.68,Crt,7.56,Radial Velocity,2015
Fomalhaut b,Cold,Jovian,hydrogen-rich,non-habitable,11.56,PsA,7.7,Imaging,2008
61 Vir b,Hot,Superterran,metals-rich,non-habitable,1.66,Vir,8.52,Radial Velocity,2009
61 Vir c,Hot,Neptunian,metals-rich,non-habitable,4.51,Vir,8.52,Radial Velocity,2009
61 Vir d,Hot,Neptunian,metals-rich,non-habitable,4.87,Vir,8.52,Radial Velocity,2009
GJ 433 b,Hot,Superterran,metals-rich,non-habitable,1.68,Hya,8.88,Radial Velocity,2009
GJ 433 c,Cold,Neptunian,hydrogen-rich,non-habitable,6.07,Hya,8.88,Radial Velocity,2012
GJ 785 b,Hot,Neptunian,metals-rich,non-habitable,4.4,Cap,8.91,Radial Velocity,2010
GJ 785 c,Cold,Neptunian,hydrogen-rich,non-habitable,4.95,Cap,8.91,Radial Velocity,2011
GJ 849 b,Cold,Jovian,hydrogen-rich,non-habitable,10.07,Aqr,9.1,Radial Velocity,2006
GJ 849 c,Cold,Jovian,hydrogen-rich,non-habitable,9.77,Aqr,9.1,Radial Velocity,2013
HD 102365 b,Hot,Neptunian,metals-rich,non-habitable,4.31,Cen,9.24,Radial Velocity,2011
GJ 176 b,Hot,Superterran,metals-rich,non-habitable,1.9,Tau,9.42,Radial Velocity,2007
WISE 1217+16 A b,Cold,Jovian,hydrogen-rich,non-habitable,10.75,Com,10,Imaging,2012
GJ 536 b,Hot,Superterran,metals-rich,non-habitable,1.69,Vir,10.03,Radial Velocity,2016
GJ 436 b,Hot,Neptunian,metals-rich,non-habitable,4.26,Leo,10.2,Primary Transit,2004
GJ 649 b,Cold,Jovian,hydrogen-rich,non-habitable,7.89,Her,10.34,Radial Velocity,2009
GJ 649 c,Hot,Superterran,metals-rich,non-habitable,1.96,Her,10.34,Radial Velocity,2013
HD 62509 b,Hot,Jovian,hydrogen-rich,non-habitable,11.54,Gem,10.34,Radial Velocity,2006
WISE 0458+6434 b,Cold,Jovian,hydrogen-rich,non-habitable,11.3,Cam,10.5,Imaging,2011
GJ 86 A b,Hot,Jovian,hydrogen-rich,non-habitable,11.66,Eri,10.9,Radial Velocity,2000
HD 3651 b,Hot,Jovian,hydrogen-rich,non-habitable,7.11,Psc,11,Radial Velocity,2003
HD 3651 c,Hot,Neptunian,metals-rich,non-habitable,5.24,Psc,11,Radial Velocity,2013
